Company Name,Industry,Symbol,Series,ISIN Code
Castrol India Ltd.,ENERGY,CASTROLIND,EQ,INE172A01027
Jubilant Foodworks Ltd.,CONSUMER GOODS,JUBLFOOD,EQ,INE797F01012
Indraprastha Gas Ltd.,ENERGY,IGL,EQ,INE203G01027
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,EQ,INE322A01010
Info Edge (India) Ltd.,IT,NAUKRI,EQ,INE663F01024
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
Muthoot Finance Ltd.,FINANCIAL SERVICES,MUTHOOTFIN,EQ,INE414G01012
3M India Ltd.,SERVICES,3MINDIA,EQ,INE470A01017
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,EQ,INE195A01028
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Hexaware Technologies Ltd.,IT,HEXAWARE,EQ,INE093A01033
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,EQ,INE531A01024
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Tata Global Beverages Ltd.,CONSUMER GOODS,TATAGLOBAL,EQ,INE192A01025
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,EQ,INE387A01021
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,EQ,INE131B01039
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018
National Aluminium Co. Ltd.,METALS,NATIONALUM,EQ,INE139A01034
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,EQ,INE152A01029
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,M&MFIN,EQ,INE774D01024
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA,EQ,INE342J01019
Sterlite Technologies Ltd.,TELECOM,STRTECH,EQ,INE089C01029
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,EQ,INE722A01011
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,EQ,INE225D01027
Blue Dart Express Ltd.,SERVICES,BLUEDART,EQ,INE233B01017
